2015-07-08 00:19:13,497 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:19:23,497 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:19:33,498 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:19:43,498 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:19:53,498 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:20:03,498 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:20:13,498 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:20:23,498 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:20:33,498 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:20:43,498 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:20:53,498 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:21:03,499 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:21:13,499 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:21:23,499 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:21:33,499 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:21:43,499 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:21:53,499 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:22:03,499 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:22:13,499 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:22:23,499 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:22:33,499 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:22:43,500 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:22:53,500 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:23:03,500 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:23:13,500 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:23:23,500 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:23:33,500 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:23:43,500 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:23:53,500 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:24:03,501 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:24:13,501 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:24:23,501 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:24:33,501 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:24:43,501 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:24:53,501 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:25:03,501 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:25:13,501 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:25:23,502 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:25:33,502 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:25:43,502 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:25:53,502 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:26:03,502 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:26:13,502 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:26:23,502 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:26:33,502 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:26:43,502 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:26:53,502 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:27:03,503 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:27:13,503 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:27:23,503 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:27:33,503 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:27:43,503 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:27:53,503 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:28:03,503 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:28:13,503 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:28:23,504 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:28:33,504 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:28:43,504 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:28:53,504 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:29:03,504 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:29:13,504 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:29:23,504 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:29:33,504 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:29:43,504 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:29:53,505 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:30:03,505 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:30:13,505 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:30:23,505 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:30:33,505 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:30:43,505 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:30:53,505 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:31:03,505 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:31:13,505 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:31:23,505 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:31:33,506 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:31:43,506 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:31:53,506 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:32:03,506 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:32:13,506 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:32:23,506 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:32:33,506 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:32:43,506 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:32:53,506 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:33:03,507 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:33:13,507 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
2015-07-08 00:33:23,507 INFO Readers: 0; Writers: 0; Total: 0; With rps: 0
